Vector DB,Embedding Model,Peak Memory (MB),Total Processing Time (s),Total Documents,Total Chunks
chroma,nomic-embed-text,1.0592880249023438,70.22203755378723,14,167
chroma,nomic-embed-text,1.0806894302368164,74.10303521156311,14,167
chroma,nomic-embed-text,1.0423011779785156,12.562484979629517,14,167
chroma,all-mpnet-base-v2,0.8990402221679688,69.98256325721741,14,167
chroma,instructor-xl,0.8496780395507812,511.5010576248169,14,167
chroma,all-mpnet-base-v2,0.8996915817260742,59.13234281539917,14,167
chroma,nomic-embed,0.8499517440795898,943.0452411174774,14,167
chroma,all-mpnet-base-v2,0.8812971115112305,63.391416788101196,13,207
chroma,all-mpnet-base-v2,0.8892383575439453,63.33810067176819,13,88
chroma,all-mpnet-base-v2,0.882695198059082,51.018019914627075,13,207
chroma,all-mpnet-base-v2,0.8882637023925781,35.889774560928345,13,88
