vector_db,embedding_model,peak_memory_mb,total_processing_time,docs_processed,chunks_processed,chunk_size,chunk_overlap
mongo,all-mpnet-base-v2,39.12606716156006,210.7853832244873,13,207,100,20
mongo,all-mpnet-base-v2,37.076873779296875,141.02685713768005,13,115,200,20
mongo,nomic-embed-text,0.7625570297241211,13.63089108467102,13,207,100,20
mongo,all-mpnet-base-v2,54.11615562438965,44.72001934051514,13,207,100,20
mongo,all-mpnet-base-v2,54.120245933532715,31.408144235610962,13,115,200,20
mongo,nomic-embed-text,0.49956798553466797,28.212503910064697,13,207,100,20
mongo,nomic-embed-text,0.3056306838989258,11.838621139526367,13,115,200,20
mongo,nomic-embed-text,0.49645423889160156,14.940405130386353,13,207,100,20
mongo,nomic-embed-text,0.5692729949951172,53.63558077812195,13,115,200,20
mongo,nomic-embed-text,0.6899757385253906,142.72033143043518,13,207,100,20
mongo,nomic-embed-text,0.5094614028930664,55.109760761260986,13,115,200,20
